Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.18961296506009256+0j),[0.22571778],[1.],[0.55152375],[1.],[0.16284982],[0.1418126],[0.13939015],[0.1362791],[0.13251426],[0.12915956],[0.12701472],[0.12599483],[0.12518424],[0.12467176],[0.12442512]
(0.18741999179358237+0j),[0.22681465],[1.],[0.55128194],[1.],[0.15977387],[0.13939026],[0.13627919],[0.13251436],[0.12915965],[0.12701481],[0.12599492],[0.12518431],[0.12467183],[0.12442519],[0.1243088]
(0.18406460887278572+0j),[0.22765456],[1.],[0.54818401],[1.],[0.15697646],[0.13627929],[0.13251445],[0.12915974],[0.12701489],[0.12599499],[0.12518438],[0.12467189],[0.12442525],[0.12430885],[0.1239324]
(0.18104996318184682+0j),[0.22809332],[1.],[0.54584633],[1.],[0.15343502],[0.13251455],[0.12915982],[0.12701497],[0.12599507],[0.12518445],[0.12467195],[0.1244253],[0.12430891],[0.12393246],[0.12332033]
(0.1783050657790215+0j),[0.22795894],[1.],[0.54426319],[1.],[0.14942042],[0.12915993],[0.12701506],[0.12599514],[0.12518452],[0.12467201],[0.12442536],[0.12430897],[0.12393252],[0.12332039],[0.12287871]
(0.17397584036349173+0j),[0.22741339],[1.],[0.53912371],[1.],[0.14575598],[0.12701516],[0.12599523],[0.12518459],[0.12467208],[0.12442543],[0.12430903],[0.12393258],[0.12332045],[0.12287878],[0.12212093]
(0.16994286681641177+0j),[0.22678211],[1.],[0.53483881],[1.],[0.14319508],[0.12599532],[0.12518467],[0.12467216],[0.1244255],[0.1243091],[0.12393264],[0.12332052],[0.12287884],[0.12212099],[0.12105901]
(0.1661821265118594+0j),[0.22627624],[1.],[0.53124338],[1.],[0.1418421],[0.12518476],[0.12467223],[0.12442557],[0.12430917],[0.12393271],[0.12332058],[0.1228789],[0.12212106],[0.12105907],[0.12017128]
(0.1592447541490697+0j),[0.22601309],[1.],[0.51957796],[1.],[0.1402511],[0.12467231],[0.12442564],[0.12430924],[0.12393278],[0.12332065],[0.12287896],[0.12212112],[0.12105913],[0.12017134],[0.11845306]
(0.15281389554526983+0j),[0.2261142],[1.],[0.50900402],[1.],[0.13850051],[0.12442571],[0.1243093],[0.12393283],[0.1233207],[0.12287902],[0.12212117],[0.12105919],[0.1201714],[0.11845311],[0.11594672]
(0.1468617897513663+0j),[0.2265733],[1.],[0.49940941],[1.],[0.13706201],[0.12430935],[0.12393288],[0.12332075],[0.12287907],[0.12212122],[0.12105924],[0.12017144],[0.11845316],[0.11594677],[0.11367382]
(0.13789970107197197+0j),[0.22748474],[1.],[0.48060015],[1.],[0.13521654],[0.12393294],[0.1233208],[0.12287912],[0.12212127],[0.12105928],[0.12017149],[0.1184532],[0.11594681],[0.11367387],[0.11047679]
(0.12973121572532084+0j),[0.22883474],[1.],[0.46310944],[1.],[0.13257236],[0.12332084],[0.12287915],[0.1221213],[0.12105932],[0.12017152],[0.11845323],[0.11594684],[0.1136739],[0.11047682],[0.10638501]
