Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.02408995531462862+0j),[0.18104097],[1.],[0.20312555],[1.],[0.02326811],[0.03495384],[0.0342361],[0.03461347],[0.03513732],[0.03694544],[0.03997084],[0.04300907],[0.04468255],[0.04505068],[0.0455335]
(0.02296728700193741+0j),[0.17161937],[1.],[0.20383034],[1.],[0.02346045],[0.0342361],[0.03461347],[0.03513732],[0.03694544],[0.03997084],[0.04300907],[0.04468255],[0.04505068],[0.0455335],[0.04587991]
(0.02199691277226672+0j),[0.16275097],[1.],[0.20492996],[1.],[0.0246303],[0.03461347],[0.03513732],[0.03694544],[0.03997084],[0.04300907],[0.04468255],[0.04505068],[0.0455335],[0.04587991],[0.04608353]
(0.021174891633394158+0j),[0.154627],[1.],[0.20629851],[1.],[0.02680595],[0.03513732],[0.03694544],[0.03997084],[0.04300908],[0.04468255],[0.04505068],[0.0455335],[0.04587991],[0.04608353],[0.04636196]
(0.020629062252186477+0j),[0.14724664],[1.],[0.20918837],[1.],[0.02908367],[0.03694544],[0.03997084],[0.04300908],[0.04468255],[0.04505068],[0.0455335],[0.04587991],[0.04608353],[0.04636197],[0.0468422]
(0.020211358623324856+0j),[0.14082655],[1.],[0.2121323],[1.],[0.03256811],[0.03997084],[0.04300908],[0.04468255],[0.04505068],[0.0455335],[0.04587991],[0.04608353],[0.04636197],[0.0468422],[0.04750006]
(0.019912232947824546+0j),[0.1355573],[1.],[0.21500415],[1.],[0.03706266],[0.04300908],[0.04468255],[0.04505068],[0.0455335],[0.04587992],[0.04608353],[0.04636197],[0.04684221],[0.04750006],[0.04815586]
(0.0194935079653431+0j),[0.13138849],[1.],[0.21581866],[1.],[0.04123024],[0.04468255],[0.04505068],[0.04553351],[0.04587992],[0.04608353],[0.04636197],[0.04684221],[0.04750006],[0.04815587],[0.04857155]
(0.019176857005584816+0j),[0.12800495],[1.],[0.21683813],[1.],[0.0437445],[0.04505068],[0.04553351],[0.04587992],[0.04608353],[0.04636197],[0.04684221],[0.04750006],[0.04815587],[0.04857155],[0.04877841]
(0.018953124936390408+0j),[0.12511471],[1.],[0.2181975],[1.],[0.04485933],[0.04553351],[0.04587992],[0.04608353],[0.04636197],[0.04684221],[0.04750006],[0.04815587],[0.04857155],[0.04877841],[0.04904669]
(0.018660840055669814+0j),[0.12270959],[1.],[0.21850906],[1.],[0.04595344],[0.04587992],[0.04608353],[0.04636197],[0.04684221],[0.04750006],[0.04815587],[0.04857155],[0.04877841],[0.04904669],[0.04923512]
(0.01845188048670039+0j),[0.12073088],[1.],[0.21917583],[1.],[0.04678306],[0.04608353],[0.04636197],[0.04684221],[0.04750006],[0.04815587],[0.04857155],[0.04877841],[0.04904669],[0.04923512],[0.04934549]
