Es,Sx,Sxx,Sy,Syy,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.0007521472177668596+0j),[0.01945639],[1.],[0.0512502],[1.],"(array([0.01129216]), array([0.0159854]))","(array([0.00973281]), array([0.0040583]))","(array([0.01012574]), array([0.00411317]))","(array([0.01044501]), array([0.00417891]))","(array([0.01081825]), array([0.00425557]))","(array([0.01131631]), array([0.00434192]))"
(0.0008124079545981377+0j),[0.0198976],[1.],[0.05338278],[1.],"(array([0.0117887]), array([0.0164931]))","(array([0.01012574]), array([0.00411317]))","(array([0.01044501]), array([0.00417891]))","(array([0.01081825]), array([0.00425557]))","(array([0.01131631]), array([0.00434192]))","(array([0.0117968]), array([0.00443695]))"
(0.0008724414563139524+0j),[0.02038557],[1.],[0.05540398],[1.],"(array([0.01232506]), array([0.01700592]))","(array([0.01044501]), array([0.00417891]))","(array([0.01081825]), array([0.00425557]))","(array([0.01131631]), array([0.00434192]))","(array([0.0117968]), array([0.00443695]))","(array([0.01226511]), array([0.00454171]))"
(0.0009294912543147368+0j),[0.02090276],[1.],[0.05723473],[1.],"(array([0.01276333]), array([0.01750443]))","(array([0.01081825]), array([0.00425557]))","(array([0.01131631]), array([0.00434192]))","(array([0.0117968]), array([0.00443695]))","(array([0.01226511]), array([0.00454171]))","(array([0.0126994]), array([0.00465504]))"
(0.0009708983095137599+0j),[0.02145682],[1.],[0.0584587],[1.],"(array([0.01320417]), array([0.01793973]))","(array([0.01131631]), array([0.00434192]))","(array([0.0117968]), array([0.00443695]))","(array([0.01226511]), array([0.00454171]))","(array([0.0126994]), array([0.00465504]))","(array([0.01304379]), array([0.00477582]))"
(0.0010107212161728867+0j),[0.02206866],[1.],[0.05957779],[1.],"(array([0.01372047]), array([0.01832059]))","(array([0.0117968]), array([0.00443695]))","(array([0.01226511]), array([0.00454171]))","(array([0.0126994]), array([0.00465504]))","(array([0.01304379]), array([0.00477582]))","(array([0.01330796]), array([0.00490726]))"
(0.001016395575673929+0j),[0.02273118],[1.],[0.0595167],[1.],"(array([0.01413617]), array([0.01859075]))","(array([0.01226511]), array([0.00454171]))","(array([0.0126994]), array([0.00465504]))","(array([0.01304379]), array([0.00477582]))","(array([0.01330796]), array([0.00490726]))","(array([0.01342724]), array([0.00505094]))"
(0.001013318133475593+0j),[0.02343855],[1.],[0.05913606],[1.],"(array([0.01444583]), array([0.01872961]))","(array([0.0126994]), array([0.00465504]))","(array([0.01304379]), array([0.00477582]))","(array([0.01330796]), array([0.00490726]))","(array([0.01342724]), array([0.00505094]))","(array([0.01337744]), array([0.00520539]))"
(0.0010347691834234594+0j),[0.0241811],[1.],[0.05955784],[1.],"(array([0.01474086]), array([0.01892869]))","(array([0.01304379]), array([0.00477582]))","(array([0.01330796]), array([0.00490726]))","(array([0.01342724]), array([0.00505094]))","(array([0.01337744]), array([0.00520539]))","(array([0.01338208]), array([0.00536886]))"
(0.0010738299051592764+0j),[0.02493907],[1.],[0.06054422],[1.],"(array([0.01501813]), array([0.01927155]))","(array([0.01330796]), array([0.00490726]))","(array([0.01342724]), array([0.00505094]))","(array([0.01337744]), array([0.00520539]))","(array([0.01338208]), array([0.00536886]))","(array([0.01354084]), array([0.00553804]))"
