Es,Sx,Sxx,Sy,Syy,P-10,P-9,P-8,P-7,P-6,P-5,P-4,P-3,P-2,P-1,P0
(0.0958023311310917+0j),[-1.07993598e-15],[1.],[-0.57941125],[1.],[-0.17913912],[-0.0552622],[-0.05468832],[-0.0621948],[-0.07816975],[-0.0927289],[-0.10591959],[-0.11431502],[-0.11911018],[-0.12318066],[-0.12765783]
(0.08391004645387984+0j),[-3.81668158e-16],[1.],[-0.54282563],[1.],[-0.1817942],[-0.05469012],[-0.06219661],[-0.07817138],[-0.09273079],[-0.10592128],[-0.11431673],[-0.11911166],[-0.12318209],[-0.12765912],[-0.12653026]
(0.07261672542529746+0j),[3.92502866e-17],[1.],[-0.50550837],[1.],[-0.17289202],[-0.06219897],[-0.0781738],[-0.09273329],[-0.10592392],[-0.11431909],[-0.11911407],[-0.12318415],[-0.1276612],[-0.12653198],[-0.11819972]
(0.06710865667368233+0j),[1.04329464e-15],[1.],[-0.48599353],[1.],[-0.1739839],[-0.07817653],[-0.09273584],[-0.10592674],[-0.11432172],[-0.11911658],[-0.12318654],[-0.12766331],[-0.1265339],[-0.1182014],[-0.11178247]
(0.05959664796008172+0j),[1.50054446e-15],[1.],[-0.45829159],[1.],[-0.18464335],[-0.09274066],[-0.10593176],[-0.11432675],[-0.1191214],[-0.12319114],[-0.12766761],[-0.12653798],[-0.11820503],[-0.11178572],[-0.10646219]
(0.0594154761282113+0j),[8.44582596e-16],[1.],[-0.45804932],[1.],[-0.19606157],[-0.10594446],[-0.11433979],[-0.11913427],[-0.12320361],[-0.12767975],[-0.12654942],[-0.11821557],[-0.1117954],[-0.10647092],[-0.10330904]
(0.06598403631450654+0j),[1.0154006e-15],[1.],[-0.48286922],[1.],[-0.2120649],[-0.11436663],[-0.11916117],[-0.12323024],[-0.12770566],[-0.12657425],[-0.11823855],[-0.11181655],[-0.10649009],[-0.10332688],[-0.10609404]
(0.06476937002773016+0j),[5.37885257e-16],[1.],[-0.47885914],[1.],[-0.22284767],[-0.11920962],[-0.12327858],[-0.12775372],[-0.12662033],[-0.11828129],[-0.11185652],[-0.10652734],[-0.10336041],[-0.10612483],[-0.10843263]
(0.06250834709432802+0j),[9.11962721e-16],[1.],[-0.47116684],[1.],[-0.2263964],[-0.12334784],[-0.12782244],[-0.1266872],[-0.11834339],[-0.11191461],[-0.10658163],[-0.10341087],[-0.10617084],[-0.10847403],[-0.10711791]
(0.0589446737572528+0j),[7.5666378e-16],[1.],[-0.4585573],[1.],[-0.22826595],[-0.12790969],[-0.12677109],[-0.11842153],[-0.11198796],[-0.10665056],[-0.10347533],[-0.10623078],[-0.10852855],[-0.10716637],[-0.10483238]
(0.054848226490848175+0j),[5.39139147e-16],[1.],[-0.44356859],[1.],[-0.2297397],[-0.12687436],[-0.11851779],[-0.11207812],[-0.10673551],[-0.10355522],[-0.10630586],[-0.10859804],[-0.10722818],[-0.10488781],[-0.10172348]
(0.050220972356709075+0j),[3.33046062e-16],[1.],[-0.42584486],[1.],[-0.22504426],[-0.11863848],[-0.1121912],[-0.10684157],[-0.10365547],[-0.10640147],[-0.10868715],[-0.10730958],[-0.1049591],[-0.10178692],[-0.09804045]
(0.04639961347701192+0j),[5.92110672e-16],[1.],[-0.41069047],[1.],[-0.2130967],[-0.11230869],[-0.10695251],[-0.10376018],[-0.10650166],[-0.10878139],[-0.10739569],[-0.10503623],[-0.10185392],[-0.0980981],[-0.09433314]
(0.05710596970924156+0j),[-5.34998901e-17],[1.],[-0.45579492],[1.],[-0.21013442],[-0.10704325],[-0.10384473],[-0.10658483],[-0.10885892],[-0.10746629],[-0.10510007],[-0.10190891],[-0.09814429],[-0.09437367],[-0.09772736]
(0.06866456121273967+0j),[-6.65368337e-16],[1.],[-0.49812681],[1.],[-0.21471125],[-0.10392508],[-0.10666063],[-0.10893186],[-0.10753164],[-0.10515878],[-0.10196087],[-0.0981875],[-0.09440902],[-0.09775852],[-0.10758228]
(0.08078252938046594+0j),[4.23222582e-16],[1.],[-0.53719063],[1.],[-0.22076787],[-0.10674135],[-0.10900829],[-0.10760334],[-0.10522056],[-0.10201513],[-0.09823496],[-0.09444814],[-0.09778831],[-0.10760842],[-0.11675713]
(0.09286959142228025+0j),[-2.35868087e-16],[1.],[-0.57178562],[1.],[-0.23189517],[-0.10909692],[-0.10768503],[-0.10529395],[-0.102079],[-0.09828983],[-0.09449484],[-0.09782605],[-0.10763866],[-0.11678203],[-0.12505882]
(0.0828732792919942+0j),[6.31206881e-16],[1.],[-0.54080859],[1.],[-0.23465977],[-0.10779538],[-0.10539365],[-0.10216686],[-0.09836592],[-0.09456027],[-0.09788498],[-0.10768388],[-0.11682123],[-0.12508823],[-0.12544713]
(0.08085640916719536+0j),[2.25128935e-16],[1.],[-0.53367951],[1.],[-0.22907135],[-0.10551618],[-0.10227738],[-0.09846305],[-0.09464414],[-0.09795783],[-0.1077499],[-0.1168729],[-0.12513345],[-0.12547986],[-0.12114702]
