Es,Sx,Sxx,Sy,Syy,PQ-5,PQ-4,PQ-3,PQ-2,PQ-1,PQ0
(0.03133381279922436+0j),[0.18110643],[1.],[-0.28795057],[1.],"(array([0.07057477]), array([0.11770562]))","(array([0.07044267]), array([0.0407605]))","(array([0.07037237]), array([0.04070498]))","(array([0.07042336]), array([0.04066498]))","(array([0.06823906]), array([0.04073082]))","(array([0.06530324]), array([0.04081626]))"
(0.032037714319132764+0j),[0.18072935],[1.],[-0.2929713],[1.],"(array([0.06785872]), array([0.11787796]))","(array([0.07037237]), array([0.04070498]))","(array([0.07042336]), array([0.04066498]))","(array([0.06823906]), array([0.04073082]))","(array([0.06530324]), array([0.04081626]))","(array([0.0654937]), array([0.0407965]))"
(0.03409223108267358+0j),[0.18033234],[1.],[-0.30614763],[1.],"(array([0.06889005]), array([0.11955712]))","(array([0.07042336]), array([0.04066498]))","(array([0.06823906]), array([0.04073082]))","(array([0.06530324]), array([0.04081626]))","(array([0.0654937]), array([0.0407965]))","(array([0.0675468]), array([0.04070979]))"
(0.03044201765038455+0j),[0.17999062],[1.],[-0.28335031],[1.],"(array([0.06847275]), array([0.11853446]))","(array([0.06823906]), array([0.04073082]))","(array([0.06530324]), array([0.04081626]))","(array([0.0654937]), array([0.0407965]))","(array([0.0675468]), array([0.04070979]))","(array([0.06646164]), array([0.04062401]))"
(0.03282910839103193+0j),[0.17924007],[1.],[-0.29933862],[1.],"(array([0.06600963]), array([0.11787615]))","(array([0.06530324]), array([0.04081626]))","(array([0.0654937]), array([0.0407965]))","(array([0.0675468]), array([0.04070979]))","(array([0.06646164]), array([0.04062401]))","(array([0.06569511]), array([0.0405034]))"
(0.03380563707727711+0j),[0.17790559],[1.],[-0.30620161],[1.],"(array([0.06456521]), array([0.12007307]))","(array([0.0654937]), array([0.0407965]))","(array([0.0675468]), array([0.04070979]))","(array([0.06646164]), array([0.04062401]))","(array([0.06569511]), array([0.0405034]))","(array([0.0682694]), array([0.04026756]))"
(0.03548339109512228+0j),[0.17665335],[1.],[-0.31691546],[1.],"(array([0.06599918]), array([0.1216244]))","(array([0.0675468]), array([0.04070979]))","(array([0.06646164]), array([0.04062401]))","(array([0.06569511]), array([0.0405034]))","(array([0.0682694]), array([0.04026756]))","(array([0.07025176]), array([0.03997619]))"
(0.03153603305700137+0j),[0.17590523],[1.],[-0.29325922],[1.],"(array([0.06752015]), array([0.12016053]))","(array([0.06646164]), array([0.04062401]))","(array([0.06569511]), array([0.0405034]))","(array([0.0682694]), array([0.04026756]))","(array([0.07025176]), array([0.03997619]))","(array([0.06879304]), array([0.03974845]))"
(0.03298217415164816+0j),[0.17501422],[1.],[-0.30297761],[1.],"(array([0.06580716]), array([0.11862213]))","(array([0.06569511]), array([0.0405034]))","(array([0.0682694]), array([0.04026756]))","(array([0.07025176]), array([0.03997619]))","(array([0.06879304]), array([0.03974845]))","(array([0.06722112]), array([0.03956586]))"
(0.03412052076196278+0j),[0.1740054],[1.],[-0.31050862],[1.],"(array([0.06619846]), array([0.12007813]))","(array([0.0682694]), array([0.04026756]))","(array([0.07025176]), array([0.03997619]))","(array([0.06879304]), array([0.03974845]))","(array([0.06722112]), array([0.03956586]))","(array([0.06916541]), array([0.03935145]))"
